
=== SUMMARY (ranked by dtwp_norm; shape-fair, length-unbiased) ===
config            dtwp_norm      Δ%  dtwp_raw  len_ratio  len_absΔ
baseline              0.542    +0.0     58.60       2.60     215.8
pad_0.05              0.587    +8.2     56.85       2.32     170.1
pad_0.00              0.599   +10.6     56.40       2.25     158.6
seg_trim              0.697   +28.5     54.43       1.89     107.5
seg_pad05             0.770   +42.1     52.15       1.61      80.0
seg_pad00             0.793   +46.3     51.53       1.54      76.6
speed_2.0             0.826   +52.3     56.37       1.42      60.6
combo                 0.895   +65.0     58.71       1.22      59.4
speed_2.5             0.904   +66.7     54.86       1.20      50.8
fps_18_cx             0.932   +71.9     54.51       1.16      45.6
seg_speed15           0.959   +76.9     57.03       1.06      58.5
speed_3.0             0.980   +80.7     55.10       1.05      48.2
fps_20                0.992   +83.0     52.77       1.03      44.5
fps_15                1.059   +95.3     50.59       0.85      50.0
fps_12                1.122  +106.9     48.57       0.74      59.2
seg_fps_18cx          1.161  +114.1     49.50       0.64      78.0
